0,atom_radius,covalent_radius,electronegativity,first_ion_E
H,0.53,0.32,2.18,13.595
Li,1.67,1.33,0.98,5.39
Be,1.12,1.02,1.57,9.32
B,0.87,0.85,2.04,8.296
C,0.67,0.75,2.55,11.256
N,0.56,0.71,3.04,14.53
O,0.48,0.63,3.44,13.614
F,0.42,0.64,3.98,17.418
Na,1.9,1.55,0.98,5.138
Mg,1.45,1.39,1.31,7.644
Al,1.18,1.26,1.61,5.894
Si,1.11,1.16,1.9,8.149
P,0.98,1.11,2.19,10.484
S,0.88,1.03,2.58,10.357
Cl,0.79,0.99,3.16,13.01
K,2.43,1.96,0.82,4.339
Ca,1.94,1.71,1.0,6.111
Sc,1.84,1.48,1.36,6.54
Ti,1.76,1.36,1.54,6.82
V,1.71,1.34,1.63,6.74
Cr,1.66,1.22,1.66,6.764
Mn,1.61,1.19,1.55,7.432
Fe,1.56,1.16,1.8,7.87
Co,1.52,1.11,1.88,7.86
Ni,1.49,1.1,1.91,7.633
Cu,1.45,1.12,1.9,7.724
Zn,1.42,1.18,1.65,9.391
Ga,1.36,1.24,1.81,6
Ge,1.25,1.24,2.01,7.88
As,1.14,1.21,2.18,9.81
Se,1.03,1.16,2.55,9.75
Br,0.94,1.14,2.96,11.84
Rb,2.65,2.1,0.82,11.84
Sr,2.19,1.85,0.95,5.692
Y,2.12,1.63,1.22,6.38
Zr,2.06,1.54,1.33,6.84
Nb,1.98,1.47,1.6,6.88
Mo,1.9,1.38,2.16,7.1
Tc,,,,
Ru,,,,
Rh,,,,
Pd,1.69,1.2,2.2,8.33
Ag,1.65,1.28,1.93,7.57
Cd,,,,
In,1.56,1.42,1.78,5.785
Sn,1.45,1.4,1.96,7.342
Sb,1.33,1.4,2.05,8.639
Te,1.23,1.36,2.1,9.01
I,,,,
Cs,2.98,2.32,0.79,3.893
Ba,2.53,1.96,0.89,5.21
La,1.87,1.8,1.1,5.61
Ce,2.17,1.63,1.12,5.6
Pr,2.47,1.76,1.13,5.46
Nd,1.06,1.74,1.14,5.51
Hf,,,,
Ta,2.0,1.46,1.5,7.88
W,1.93,1.37,2.36,7.98
Re,1.88,1.31,1.9,7.87
Os,,,,
Ir,,,,
Pt,1.77,1.23,2.28,9.0
Au,1.74,1.24,2.54,9.22
Hg,1.71,1.33,2.0,10.43
Tl,1.56,1.44,2.04,6.11
Bi,1.43,1.51,2.02,7.287
